OFFENSE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
FELONY POSSESSION OF STOLEN PROPERTY,2194,2114,1976,1545,1358,1250,1175,1073,1016,823,864,823,711,689,1090,904,769,1019,951,733
FORGERY/THEFT_FRAUD/IDENTITY THEFT,5714,5594,5859,8112,12984,12896,12579,12075,12216,10225,10055,9876,10233,9493,9520,10400,11079,10063,9413,8684
ARSON,3189,2681,1902,1492,1789,1831,1679,1527,1896,1474,1467,1264,1253,1187,1205,1026,802,680,741,711
FELONY SEX CRIMES (3),1839,1831,1513,1295,1263,1162,1096,1031,909,914,1053,1028,1380,1073,1135,1152,1336,1367,1615,1562
FELONY DANGEROUS DRUGS (1),38088,30743,29692,24076,25824,27391,29516,31459,28936,26025,22913,21305,19680,19571,17113,15279,14712,13348,11236,9587
FELONY DANGEROUS WEAPONS (2),2958,3030,2804,2511,2987,3748,4315,5004,5263,5952,5413,5037,4979,5155,4605,4848,5465,4843,4639,4219
FEL. CRIMINAL MISCHIEF & RELATED OFFENSES,12934,16026,13291,8400,8074,7776,7605,7090,7003,6397,6006,6374,6737,7468,8466,9253,9966,10073,10427,11302
OTHER FELONIES (4),13945,13059,13956,13786,12454,11800,11063,11699,11719,11950,11616,11533,11929,13014,13735,13658,14217,13514,13645,14686
total,80861,75078,70993,61217,66733,67854,69028,70958,68958,63760,59387,57240,56902,57650,56869,56520,58346,54907,52667,51484

